extension,size_percentage,total
e52060,2.1944113360555956e-10,1464
o52060,7.494574235162553e-11,500
e52250,0.0,0
o52250,7.494574235162553e-11,500
e52251,0.0,0
o52251,7.494574235162553e-11,500
e52252,0.0,0
o52252,7.494574235162553e-11,500
e52418,0.0,0
o52418,7.494574235162553e-11,500
e52419,0.0,0
o52419,7.494574235162553e-11,500
e52420,0.0,0
o52420,7.494574235162553e-11,500
e52253,0.0,0
o52253,7.494574235162553e-11,500
e52254,0.0,0
o52254,7.494574235162553e-11,500
e52255,0.0,0
o52255,7.494574235162553e-11,500
e52256,0.0,0
o52256,7.494574235162553e-11,500
e52061,0.0,0
o52061,7.494574235162553e-11,500
e52062,0.0,0
o52062,7.494574235162553e-11,500
e52063,0.0,0
o52063,7.494574235162553e-11,500
e52064,0.0,0
o52064,7.494574235162553e-11,500
e52257,0.0,0
o52257,7.494574235162553e-11,500
e52357,0.0,0
o52357,7.494574235162553e-11,500
e52358,2.1944113360555956e-10,1464
o52358,7.494574235162553e-11,500
e52421,2.1944113360555956e-10,1464
o52421,7.494574235162553e-11,500
e52422,0.0,0
o52422,7.494574235162553e-11,500
e52423,0.0,0
o52423,7.494574235162553e-11,500
e52258,2.1944113360555956e-10,1464
o52258,7.494574235162553e-11,500
e52259,0.0,0
o52259,7.494574235162553e-11,500
e52359,0.0,0
o52359,7.494574235162553e-11,500
e52360,0.0,0
o52360,7.494574235162553e-11,500
e52065,0.0,0
o52065,7.494574235162553e-11,500
e52066,0.0,0
o52066,7.494574235162553e-11,500
e52067,2.1944113360555956e-10,1464
o52067,7.494574235162553e-11,500
e52068,0.0,0
o52068,7.494574235162553e-11,500
e52361,0.0,0
o52361,7.494574235162553e-11,500
e52362,0.0,0
o52362,7.494574235162553e-11,500
e52363,0.0,0
o52363,7.494574235162553e-11,500
e52460,0.0,0
o52460,7.494574235162553e-11,500
e52424,0.0,0
o52424,7.494574235162553e-11,500
e52461,0.0,0
o52461,7.494574235162553e-11,500
e52364,0.0,0
o52364,7.494574235162553e-11,500
e52365,0.0,0
o52365,7.494574235162553e-11,500
e52366,2.1944113360555956e-10,1464
o52366,7.494574235162553e-11,500
e52367,0.0,0
o52367,7.494574235162553e-11,500
e50500,0.0,0
o50500,7.494574235162553e-11,500
e50501,0.0,0
o50501,7.494574235162553e-11,500
e50502,0.0,0
o50502,7.494574235162553e-11,500
e50503,0.0,0
o50503,7.494574235162553e-11,500
e50606,0.0,0
o50606,7.494574235162553e-11,500
e50607,0.0,0
o50607,7.494574235162553e-11,500
e50608,0.0,0
o50608,7.494574235162553e-11,500
e50688,0.0,0
o50688,7.494574235162553e-11,500
e50689,0.0,0
o50689,7.494574235162553e-11,500
e50690,2.1944113360555956e-10,1464
o50690,7.494574235162553e-11,500
e50609,0.0,0
o50609,7.494574235162553e-11,500
e50610,0.0,0
o50610,7.494574235162553e-11,500
e50611,2.1944113360555956e-10,1464
o50611,7.494574235162553e-11,500
e50612,0.0,0
o50612,7.494574235162553e-11,500
e52506,0.0,0
o52506,7.494574235162553e-11,500
e52507,0.0,0
o52507,7.494574235162553e-11,500
e52508,0.0,0
o52508,7.494574235162553e-11,500
e52509,0.0,0
o52509,7.494574235162553e-11,500
e52634,0.0,0
o52634,7.494574235162553e-11,500
e52635,0.0,0
o52635,7.494574235162553e-11,500
e52636,0.0,0
o52636,7.494574235162553e-11,500
e52888,0.0,0
o52888,7.494574235162553e-11,500
e52889,0.0,0
o52889,7.494574235162553e-11,500
e52890,2.1944113360555956e-10,1464
o52890,7.494574235162553e-11,500
e52637,0.0,0
o52637,7.494574235162553e-11,500
e52638,2.1944113360555956e-10,1464
o52638,7.494574235162553e-11,500
e52639,0.0,0
o52639,7.494574235162553e-11,500
e52640,0.0,0
o52640,7.494574235162553e-11,500
e52510,0.0,0
o52510,7.494574235162553e-11,500
e52511,2.1944113360555956e-10,1464
o52511,7.494574235162553e-11,500
e52512,2.1944113360555956e-10,1464
o52512,7.494574235162553e-11,500
e52513,0.0,0
o52513,7.494574235162553e-11,500
e52641,0.0,0
o52641,7.494574235162553e-11,500
e52642,0.0,0
o52642,7.494574235162553e-11,500
e52643,0.0,0
o52643,7.494574235162553e-11,500
e52891,0.0,0
o52891,7.494574235162553e-11,500
e52892,0.0,0
o52892,7.494574235162553e-11,500
e52893,0.0,0
o52893,7.494574235162553e-11,500
e52644,0.0,0
o52644,7.494574235162553e-11,500
e52645,0.0,0
o52645,7.494574235162553e-11,500
e52646,0.0,0
o52646,7.494574235162553e-11,500
e52647,2.1944113360555956e-10,1464
o52647,7.494574235162553e-11,500
e52514,0.0,0
o52514,7.494574235162553e-11,500
e52515,0.0,0
o52515,7.494574235162553e-11,500
e52516,0.0,0
o52516,7.494574235162553e-11,500
e52517,0.0,0
o52517,7.494574235162553e-11,500
e52648,0.0,0
o52648,7.494574235162553e-11,500
e52649,0.0,0
o52649,7.494574235162553e-11,500
e52650,2.1944113360555956e-10,1464
o52650,7.494574235162553e-11,500
e52894,2.1944113360555956e-10,1464
e53021,0.0,0
o52894,7.494574235162553e-11,500
o53021,7.494574235162553e-11,500
e52895,0.0,0
o52895,7.494574235162553e-11,500
e52896,0.0,0
e53022,0.0,0
o52896,7.494574235162553e-11,500
o53022,7.494574235162553e-11,500
e52651,0.0,0
o52651,7.494574235162553e-11,500
e52652,0.0,0
o52652,7.494574235162553e-11,500
e52653,0.0,0
o52653,7.494574235162553e-11,500
e52654,0.0,0
o52654,7.494574235162553e-11,500
e52518,0.0,0
o52518,7.494574235162553e-11,500
e52519,0.0,0
o52519,7.494574235162553e-11,500
e52520,2.1944113360555956e-10,1464
o52520,7.494574235162553e-11,500
e52521,0.0,0
o52521,7.494574235162553e-11,500
e52655,0.0,0
o52655,7.494574235162553e-11,500
e52656,2.1944113360555956e-10,1464
o52656,7.494574235162553e-11,500
e52657,0.0,0
o52657,7.494574235162553e-11,500
e52897,0.0,0
o52897,7.494574235162553e-11,500
e52898,0.0,0
o52898,7.494574235162553e-11,500
e52899,0.0,0
o52899,7.494574235162553e-11,500
e52658,0.0,0
o52658,7.494574235162553e-11,500
e52659,0.0,0
o52659,7.494574235162553e-11,500
e52660,0.0,0
o52660,7.494574235162553e-11,500
e52661,0.0,0
o52661,7.494574235162553e-11,500
e52522,0.0,0
o52522,7.494574235162553e-11,500
e52523,0.0,0
o52523,7.494574235162553e-11,500
e52524,0.0,0
o52524,7.494574235162553e-11,500
e52525,0.0,0
o52525,7.494574235162553e-11,500
e52662,0.0,0
o52662,7.494574235162553e-11,500
e52663,2.1944113360555956e-10,1464
o52663,7.494574235162553e-11,500
e52664,0.0,0
o52664,7.494574235162553e-11,500
e52900,2.1944113360555956e-10,1464
o52900,7.494574235162553e-11,500
e52901,0.0,0
o52901,7.494574235162553e-11,500
e52902,0.0,0
o52902,7.494574235162553e-11,500
e52665,0.0,0
o52665,7.494574235162553e-11,500
e52666,0.0,0
o52666,7.494574235162553e-11,500
e52667,0.0,0
o52667,7.494574235162553e-11,500
e52668,0.0,0
o52668,7.494574235162553e-11,500
e52526,0.0,0
o52526,7.494574235162553e-11,500
e52527,2.1944113360555956e-10,1464
o52527,7.494574235162553e-11,500
e52528,0.0,0
o52528,7.494574235162553e-11,500
e52529,0.0,0
o52529,7.494574235162553e-11,500
e52669,0.0,0
o52669,7.494574235162553e-11,500
e52670,0.0,0
o52670,7.494574235162553e-11,500
e52671,2.1944113360555956e-10,1464
o52671,7.494574235162553e-11,500
e52903,0.0,0
o52903,7.494574235162553e-11,500
e52904,0.0,0
o52904,7.494574235162553e-11,500
e52905,0.0,0
o52905,7.494574235162553e-11,500
e52672,0.0,0
o52672,7.494574235162553e-11,500
e52673,0.0,0
o52673,7.494574235162553e-11,500
e52674,0.0,0
o52674,7.494574235162553e-11,500
e52675,0.0,0
o52675,7.494574235162553e-11,500
e52530,0.0,0
o52530,7.494574235162553e-11,500
e52531,0.0,0
o52531,7.494574235162553e-11,500
e52532,0.0,0
o52532,7.494574235162553e-11,500
e52533,0.0,0
o52533,7.494574235162553e-11,500
e52676,0.0,0
o52676,7.494574235162553e-11,500
e52677,2.1944113360555956e-10,1464
o52677,7.494574235162553e-11,500
e52678,0.0,0
o52678,7.494574235162553e-11,500
e52906,0.0,0
o52906,7.494574235162553e-11,500
e52907,0.0,0
o52907,7.494574235162553e-11,500
e52908,0.0,0
o52908,7.494574235162553e-11,500
e52679,0.0,0
o52679,7.494574235162553e-11,500
e52680,0.0,0
o52680,7.494574235162553e-11,500
e52681,0.0,0
o52681,7.494574235162553e-11,500
e52682,0.0,0
o52682,7.494574235162553e-11,500
e52534,2.1944113360555956e-10,1464
o52534,7.494574235162553e-11,500
e52535,0.0,0
o52535,7.494574235162553e-11,500
e52536,0.0,0
o52536,7.494574235162553e-11,500
e52537,0.0,0
o52537,7.494574235162553e-11,500
e52683,2.1944113360555956e-10,1464
o52683,7.494574235162553e-11,500
e52684,0.0,0
o52684,7.494574235162553e-11,500
e52685,0.0,0
o52685,7.494574235162553e-11,500
e52909,2.1944113360555956e-10,1464
o52909,7.494574235162553e-11,500
e52910,0.0,0
o52910,7.494574235162553e-11,500
e52911,0.0,0
o52911,7.494574235162553e-11,500
e52686,0.0,0
o52686,7.494574235162553e-11,500
e52687,0.0,0
o52687,7.494574235162553e-11,500
e52688,0.0,0
o52688,7.494574235162553e-11,500
e52689,0.0,0
o52689,7.494574235162553e-11,500
e52538,0.0,0
o52538,7.494574235162553e-11,500
e52539,2.1944113360555956e-10,1464
o52539,7.494574235162553e-11,500
e52540,0.0,0
o52540,7.494574235162553e-11,500
e52541,0.0,0
e53449,2.1944113360555956e-10,1464
o52541,7.494574235162553e-11,500
o53449,7.494574235162553e-11,500
e52690,0.0,0
o52690,7.494574235162553e-11,500
e52691,0.0,0
o52691,7.494574235162553e-11,500
e53663,0.0,0
o53663,7.494574235162553e-11,500
e52912,0.0,0
o52912,7.494574235162553e-11,500
e52913,0.0,0
o52913,7.494574235162553e-11,500
e53921,0.0,0
o53921,7.494574235162553e-11,500
e52692,0.0,0
o52692,7.494574235162553e-11,500
e52693,0.0,0
o52693,7.494574235162553e-11,500
e52694,0.0,0
o52694,7.494574235162553e-11,500
e53664,0.0,0
o53664,7.494574235162553e-11,500
e52542,0.0,0
o52542,7.494574235162553e-11,500
e52543,0.0,0
o52543,7.494574235162553e-11,500
e52544,0.0,0
o52544,7.494574235162553e-11,500
e52545,0.0,0
o52545,7.494574235162553e-11,500
e52695,2.1944113360555956e-10,1464
o52695,7.494574235162553e-11,500
e52696,0.0,0
o52696,7.494574235162553e-11,500
e52697,0.0,0
o52697,7.494574235162553e-11,500
e52914,0.0,0
o52914,7.494574235162553e-11,500
e52915,0.0,0
o52915,7.494574235162553e-11,500
e52916,0.0,0
o52916,7.494574235162553e-11,500
e52698,0.0,0
o52698,7.494574235162553e-11,500
e52699,0.0,0
o52699,7.494574235162553e-11,500
e52700,0.0,0
o52700,7.494574235162553e-11,500
e52701,0.0,0
o52701,7.494574235162553e-11,500
e52546,0.0,0
o52546,7.494574235162553e-11,500
e52547,2.1944113360555956e-10,1464
o52547,7.494574235162553e-11,500
e52548,0.0,0
o52548,7.494574235162553e-11,500
e52549,0.0,0
o52549,7.494574235162553e-11,500
e52702,0.0,0
o52702,7.494574235162553e-11,500
e52703,0.0,0
o52703,7.494574235162553e-11,500
e52704,0.0,0
o52704,7.494574235162553e-11,500
e53208,0.0,0
o53208,7.494574235162553e-11,500
e52917,0.0,0
o52917,7.494574235162553e-11,500
e52918,0.0,0
o52918,7.494574235162553e-11,500
e52705,0.0,0
o52705,7.494574235162553e-11,500
e52706,0.0,0
o52706,7.494574235162553e-11,500
e52707,0.0,0
o52707,7.494574235162553e-11,500
e52708,0.0,0
o52708,7.494574235162553e-11,500
e52550,0.0,0
o52550,7.494574235162553e-11,500
e52551,0.0,0
o52551,7.494574235162553e-11,500
e52552,0.0,0
o52552,7.494574235162553e-11,500
e52553,0.0,0
o52553,7.494574235162553e-11,500
e52709,0.0,0
e53020,0.0,0
o52709,7.494574235162553e-11,500
o53020,7.494574235162553e-11,500
e52919,0.0,0
o52919,7.494574235162553e-11,500
e52920,2.1944113360555956e-10,1464
o52920,7.494574235162553e-11,500
e53209,0.0,0
o53209,7.494574235162553e-11,500
e53210,0.0,0
o53210,7.494574235162553e-11,500
e53211,0.0,0
o53211,7.494574235162553e-11,500
e52710,2.1944113360555956e-10,1464
o52710,7.494574235162553e-11,500
e52711,0.0,0
o52711,7.494574235162553e-11,500
e52921,0.0,0
o52921,7.494574235162553e-11,500
e52922,0.0,0
o52922,7.494574235162553e-11,500
e52554,0.0,0
o52554,7.494574235162553e-11,500
e52555,2.1944113360555956e-10,1464
o52555,7.494574235162553e-11,500
e52556,0.0,0
o52556,7.494574235162553e-11,500
e52557,0.0,0
o52557,7.494574235162553e-11,500
e52923,0.0,0
o52923,7.494574235162553e-11,500
e52924,0.0,0
o52924,7.494574235162553e-11,500
e52925,0.0,0
o52925,7.494574235162553e-11,500
e53318,0.0,0
o53318,7.494574235162553e-11,500
e53212,2.1944113360555956e-10,1464
o53212,7.494574235162553e-11,500
e53214,0.0,0
o53214,7.494574235162553e-11,500
e52926,2.1944113360555956e-10,1464
o52926,7.494574235162553e-11,500
e52927,0.0,0
o52927,7.494574235162553e-11,500
e52928,0.0,0
o52928,7.494574235162553e-11,500
e52929,0.0,0
o52929,7.494574235162553e-11,500
e54162,0.0,0
o54162,7.494574235162553e-11,500
e54163,0.0,0
o54163,7.494574235162553e-11,500
e54164,0.0,0
o54164,7.494574235162553e-11,500
e54165,0.0,0
o54165,7.1048563749341e-11,474
e54246,0.0,0
o54246,7.494574235162553e-11,500
e54247,0.0,0
o54247,7.494574235162553e-11,500
e54248,0.0,0
o54248,7.494574235162553e-11,500
e54428,0.0,0
o54428,7.494574235162553e-11,500
e54429,0.0,0
o54429,7.494574235162553e-11,500
e54430,0.0,0
o54430,7.494574235162553e-11,500
e54249,0.0,0
o54249,7.494574235162553e-11,500
e54250,0.0,0
o54250,7.1048563749341e-11,474
e54251,0.0,0
o54251,7.494574235162553e-11,500
e54252,0.0,0
o54252,7.494574235162553e-11,500
e54166,0.0,0
o54166,7.494574235162553e-11,500
e54167,0.0,0
o54167,7.494574235162553e-11,500
e54168,0.0,0
o54168,7.1048563749341e-11,474
e54169,0.0,0
o54169,7.494574235162553e-11,500
e54253,0.0,0
o54253,7.494574235162553e-11,500
e54254,0.0,0
o54254,7.494574235162553e-11,500
e54255,0.0,0
o54255,7.1048563749341e-11,474
e54431,0.0,0
o54431,7.494574235162553e-11,500
e54432,0.0,0
o54432,7.494574235162553e-11,500
e54433,0.0,0
o54433,7.1048563749341e-11,474
e54256,0.0,0
o54256,7.494574235162553e-11,500
e54257,0.0,0
o54257,7.494574235162553e-11,500
e54258,0.0,0
o54258,7.494574235162553e-11,500
e54259,0.0,0
o54259,7.494574235162553e-11,500
e54170,0.0,0
o54170,7.494574235162553e-11,500
e54171,0.0,0
o54171,7.1048563749341e-11,474
e54172,0.0,0
o54172,7.494574235162553e-11,500
e54173,0.0,0
o54173,7.494574235162553e-11,500
e54260,0.0,0
o54260,7.494574235162553e-11,500
e54261,0.0,0
o54261,7.494574235162553e-11,500
e54262,0.0,0
o54262,7.1048563749341e-11,474
e54434,0.0,0
o54434,7.494574235162553e-11,500
e54435,0.0,0
o54435,7.494574235162553e-11,500
e54436,0.0,0
o54436,7.494574235162553e-11,500
e54263,0.0,0
o54263,7.494574235162553e-11,500
e54264,0.0,0
o54264,7.494574235162553e-11,500
e54265,0.0,0
o54265,7.494574235162553e-11,500
e54266,0.0,0
o54266,7.494574235162553e-11,500
e54174,0.0,0
o54174,7.494574235162553e-11,500
e54175,0.0,0
o54175,7.494574235162553e-11,500
e54176,0.0,0
o54176,7.494574235162553e-11,500
e54177,0.0,0
o54177,7.494574235162553e-11,500
e54267,0.0,0
o54267,7.494574235162553e-11,500
e54268,0.0,0
o54268,7.1048563749341e-11,474
e54269,0.0,0
o54269,7.1048563749341e-11,474
e54437,0.0,0
o54437,7.494574235162553e-11,500
e54438,0.0,0
o54438,7.1048563749341e-11,474
e54439,0.0,0
o54439,7.494574235162553e-11,500
e54270,0.0,0
o54270,7.494574235162553e-11,500
e54271,0.0,0
o54271,7.494574235162553e-11,500
e54272,0.0,0
o54272,7.494574235162553e-11,500
e54273,0.0,0
o54273,7.494574235162553e-11,500
e54178,0.0,0
o54178,7.494574235162553e-11,500
e54179,0.0,0
o54179,7.1048563749341e-11,474
e54180,0.0,0
o54180,7.1048563749341e-11,474
e54181,0.0,0
o54181,7.1048563749341e-11,474
e54274,0.0,0
o54274,7.494574235162553e-11,500
e54275,0.0,0
o54275,7.494574235162553e-11,500
e54276,0.0,0
o54276,7.494574235162553e-11,500
e54440,0.0,0
o54440,7.1048563749341e-11,474
e54441,0.0,0
o54441,7.1048563749341e-11,474
e54442,0.0,0
o54442,7.494574235162553e-11,500
e54277,0.0,0
o54277,7.494574235162553e-11,500
e54278,0.0,0
o54278,7.1048563749341e-11,474
e54279,0.0,0
o54279,7.494574235162553e-11,500
e54280,0.0,0
o54280,7.494574235162553e-11,500
e54182,0.0,0
o54182,7.494574235162553e-11,500
e54183,0.0,0
o54183,7.494574235162553e-11,500
e54184,0.0,0
o54184,7.494574235162553e-11,500
e54185,0.0,0
o54185,7.494574235162553e-11,500
e54281,0.0,0
o54281,7.494574235162553e-11,500
e54282,0.0,0
o54282,7.494574235162553e-11,500
e54283,0.0,0
o54283,7.494574235162553e-11,500
e54443,0.0,0
o54443,7.1048563749341e-11,474
e54444,0.0,0
o54444,7.494574235162553e-11,500
e54445,0.0,0
o54445,7.494574235162553e-11,500
e54284,0.0,0
o54284,7.494574235162553e-11,500
e54285,0.0,0
o54285,7.494574235162553e-11,500
e54286,0.0,0
o54286,7.1048563749341e-11,474
e54287,0.0,0
o54287,7.1048563749341e-11,474
e54186,0.0,0
o54186,7.494574235162553e-11,500
e54187,0.0,0
o54187,7.494574235162553e-11,500
e54188,0.0,0
o54188,7.494574235162553e-11,500
e54189,0.0,0
o54189,7.494574235162553e-11,500
e54288,0.0,0
o54288,7.494574235162553e-11,500
e54289,0.0,0
o54289,7.494574235162553e-11,500
e54290,0.0,0
o54290,7.494574235162553e-11,500
e54618,0.0,0
o54618,7.494574235162553e-11,500
e54446,0.0,0
o54446,7.494574235162553e-11,500
e54447,0.0,0
o54447,7.494574235162553e-11,500
e54291,0.0,0
o54291,7.1048563749341e-11,474
e54292,0.0,0
o54292,7.494574235162553e-11,500
e54293,0.0,0
o54293,7.494574235162553e-11,500
e54294,0.0,0
o54294,7.494574235162553e-11,500
e54190,0.0,0
o54190,7.1048563749341e-11,474
e54191,0.0,0
o54191,7.494574235162553e-11,500
e54192,0.0,0
o54192,7.494574235162553e-11,500
e54193,0.0,0
o54193,7.494574235162553e-11,500
e54295,0.0,0
o54295,7.494574235162553e-11,500
e54296,0.0,0
o54296,7.494574235162553e-11,500
e54297,0.0,0
o54297,7.494574235162553e-11,500
e54448,0.0,0
o54448,7.494574235162553e-11,500
e54449,0.0,0
o54449,7.494574235162553e-11,500
e54450,0.0,0
o54450,7.494574235162553e-11,500
e54298,0.0,0
o54298,7.1048563749341e-11,474
e54299,0.0,0
o54299,7.1048563749341e-11,474
e54300,0.0,0
o54300,7.494574235162553e-11,500
e54301,0.0,0
o54301,7.494574235162553e-11,500
e54194,0.0,0
o54194,7.494574235162553e-11,500
e54195,0.0,0
o54195,7.494574235162553e-11,500
e54196,0.0,0
o54196,7.494574235162553e-11,500
e54197,0.0,0
o54197,7.1048563749341e-11,474
e54302,0.0,0
o54302,7.494574235162553e-11,500
e54303,0.0,0
o54303,7.1048563749341e-11,474
e54304,0.0,0
o54304,7.494574235162553e-11,500
e54619,0.0,0
o54619,7.494574235162553e-11,500
e54451,0.0,0
o54451,7.1048563749341e-11,474
e54452,0.0,0
o54452,7.494574235162553e-11,500
e54305,0.0,0
o54305,7.1048563749341e-11,474
e54306,0.0,0
o54306,7.494574235162553e-11,500
e54307,0.0,0
o54307,7.494574235162553e-11,500
e54308,0.0,0
o54308,7.494574235162553e-11,500
e54198,0.0,0
o54198,7.1048563749341e-11,474
e54199,0.0,0
o54199,7.494574235162553e-11,500
e54200,0.0,0
o54200,7.494574235162553e-11,500
e54201,0.0,0
o54201,7.494574235162553e-11,500
e54309,0.0,0
o54309,7.494574235162553e-11,500
e54310,0.0,0
o54310,7.1048563749341e-11,474
e54311,0.0,0
o54311,7.1048563749341e-11,474
e54620,0.0,0
o54620,7.494574235162553e-11,500
e54453,0.0,0
o54453,7.494574235162553e-11,500
e54454,0.0,0
o54454,7.494574235162553e-11,500
e54312,0.0,0
o54312,7.494574235162553e-11,500
e54313,0.0,0
o54313,7.494574235162553e-11,500
e54314,0.0,0
o54314,7.494574235162553e-11,500
e54315,0.0,0
o54315,7.494574235162553e-11,500
e54202,0.0,0
o54202,7.494574235162553e-11,500
e54203,0.0,0
o54203,7.494574235162553e-11,500
e54204,0.0,0
o54204,7.494574235162553e-11,500
e54205,0.0,0
o54205,7.494574235162553e-11,500
e54316,0.0,0
o54316,7.494574235162553e-11,500
e54317,0.0,0
o54317,7.494574235162553e-11,500
e54318,0.0,0
o54318,7.494574235162553e-11,500
e54621,0.0,0
o54621,7.494574235162553e-11,500
e54455,0.0,0
o54455,7.494574235162553e-11,500
e54456,0.0,0
o54456,7.1048563749341e-11,474
e54319,0.0,0
o54319,7.494574235162553e-11,500
e54320,0.0,0
o54320,7.494574235162553e-11,500
e54321,0.0,0
o54321,7.1048563749341e-11,474
e54322,0.0,0
o54322,7.494574235162553e-11,500
e54206,0.0,0
o54206,7.494574235162553e-11,500
e54207,0.0,0
o54207,7.1048563749341e-11,474
e54208,0.0,0
o54208,7.494574235162553e-11,500
e54209,0.0,0
o54209,7.494574235162553e-11,500
e54323,0.0,0
o54323,7.1048563749341e-11,474
e54324,0.0,0
o54324,7.494574235162553e-11,500
e54325,0.0,0
o54325,7.494574235162553e-11,500
e54622,0.0,0
o54622,7.494574235162553e-11,500
e54457,0.0,0
o54457,7.494574235162553e-11,500
e54458,0.0,0
o54458,7.494574235162553e-11,500
e54326,0.0,0
o54326,7.1048563749341e-11,474
e54327,0.0,0
o54327,7.494574235162553e-11,500
e54328,0.0,0
o54328,7.494574235162553e-11,500
e54329,0.0,0
o54329,7.1048563749341e-11,474
e54210,0.0,0
o54210,7.494574235162553e-11,500
e54211,0.0,0
o54211,7.494574235162553e-11,500
e54212,0.0,0
o54212,7.1048563749341e-11,474
e54213,0.0,0
o54213,7.1048563749341e-11,474
e54330,0.0,0
o54330,7.494574235162553e-11,500
e54331,0.0,0
o54331,7.494574235162553e-11,500
e54332,0.0,0
o54332,7.494574235162553e-11,500
e54623,0.0,0
o54623,7.494574235162553e-11,500
e54624,0.0,0
o54624,7.494574235162553e-11,500
e54459,0.0,0
o54459,7.1048563749341e-11,474
e54333,0.0,0
o54333,7.494574235162553e-11,500
e54334,0.0,0
o54334,7.494574235162553e-11,500
e54335,0.0,0
o54335,7.494574235162553e-11,500
e54336,0.0,0
o54336,7.1048563749341e-11,474
e54214,0.0,0
o54214,7.494574235162553e-11,500
e54215,0.0,0
o54215,7.1048563749341e-11,474
e54216,0.0,0
o54216,7.494574235162553e-11,500
e54217,0.0,0
o54217,7.494574235162553e-11,500
e54337,0.0,0
o54337,7.1048563749341e-11,474
e54338,0.0,0
o54338,7.494574235162553e-11,500
e54339,0.0,0
o54339,7.1048563749341e-11,474
e54636,0.0,0
o54636,7.494574235162553e-11,500
e54625,0.0,0
o54625,7.1048563749341e-11,474
e54626,0.0,0
o54626,7.494574235162553e-11,500
e54340,0.0,0
o54340,7.494574235162553e-11,500
e54341,0.0,0
o54341,7.494574235162553e-11,500
e54342,0.0,0
o54342,7.1048563749341e-11,474
e54343,0.0,0
o54343,7.1048563749341e-11,474
e54218,0.0,0
o54218,7.494574235162553e-11,500
e54219,0.0,0
o54219,7.1048563749341e-11,474
e54220,0.0,0
o54220,7.494574235162553e-11,500
e54221,0.0,0
o54221,7.494574235162553e-11,500
e54460,0.0,0
o54460,7.494574235162553e-11,500
e54461,0.0,0
o54461,7.1048563749341e-11,474
e54344,0.0,0
o54344,7.494574235162553e-11,500
e54637,0.0,0
o54637,7.1048563749341e-11,474
e54638,0.0,0
o54638,7.494574235162553e-11,500
e54627,0.0,0
o54627,7.494574235162553e-11,500
e54345,0.0,0
o54345,7.1048563749341e-11,474
e54462,0.0,0
o54462,7.494574235162553e-11,500
e54463,0.0,0
o54463,7.494574235162553e-11,500
e54346,0.0,0
o54346,7.494574235162553e-11,500
e54222,0.0,0
o54222,7.494574235162553e-11,500
e54223,0.0,0
o54223,7.494574235162553e-11,500
e54224,0.0,0
o54224,7.494574235162553e-11,500
e54225,0.0,0
o54225,7.494574235162553e-11,500
e54347,0.0,0
o54347,7.494574235162553e-11,500
e54464,0.0,0
o54464,7.494574235162553e-11,500
e54465,0.0,0
o54465,7.494574235162553e-11,500
e54639,0.0,0
o54639,7.494574235162553e-11,500
e54640,0.0,0
o54640,7.494574235162553e-11,500
e54641,0.0,0
o54641,7.494574235162553e-11,500
e54348,0.0,0
o54348,7.494574235162553e-11,500
e54349,0.0,0
o54349,7.494574235162553e-11,500
e54466,0.0,0
o54466,7.494574235162553e-11,500
e54467,0.0,0
o54467,7.494574235162553e-11,500
e54226,0.0,0
o54226,7.494574235162553e-11,500
e54227,0.0,0
o54227,7.494574235162553e-11,500
e54228,0.0,0
o54228,7.494574235162553e-11,500
e54229,0.0,0
o54229,7.494574235162553e-11,500
e54468,0.0,0
o54468,7.1048563749341e-11,474
e54469,0.0,0
o54469,7.494574235162553e-11,500
e54470,0.0,0
o54470,7.494574235162553e-11,500
e54745,0.0,0
o54745,7.494574235162553e-11,500
e54642,0.0,0
o54642,7.494574235162553e-11,500
e54643,0.0,0
o54643,7.494574235162553e-11,500
e54471,0.0,0
o54471,7.494574235162553e-11,500
e54472,0.0,0
o54472,7.494574235162553e-11,500
e54473,0.0,0
o54473,7.494574235162553e-11,500
e54350,0.0,0
o54350,7.494574235162553e-11,500
e54230,0.0,0
o54230,7.1048563749341e-11,474
e54231,0.0,0
o54231,7.494574235162553e-11,500
e54232,0.0,0
o54232,7.494574235162553e-11,500
e54233,0.0,0
o54233,7.494574235162553e-11,500
e54474,0.0,0
o54474,7.1048563749341e-11,474
e54475,0.0,0
o54475,7.494574235162553e-11,500
e54476,0.0,0
o54476,7.494574235162553e-11,500
e54746,0.0,0
o54746,7.494574235162553e-11,500
e54644,0.0,0
o54644,7.1048563749341e-11,474
e54645,0.0,0
o54645,7.494574235162553e-11,500
e54477,0.0,0
o54477,7.494574235162553e-11,500
e54478,0.0,0
o54478,7.494574235162553e-11,500
e54479,0.0,0
o54479,7.1048563749341e-11,474
e54480,0.0,0
o54480,7.494574235162553e-11,500
e54234,0.0,0
o54234,7.1048563749341e-11,474
e54235,0.0,0
o54235,7.494574235162553e-11,500
e54236,0.0,0
o54236,7.494574235162553e-11,500
e54237,0.0,0
o54237,7.494574235162553e-11,500
e54481,0.0,0
o54481,7.494574235162553e-11,500
e54482,0.0,0
o54482,7.1048563749341e-11,474
e54483,0.0,0
o54483,7.494574235162553e-11,500
e54765,0.0,0
o54765,7.494574235162553e-11,500
e54646,0.0,0
o54646,7.494574235162553e-11,500
e54647,0.0,0
o54647,7.494574235162553e-11,500
e54484,0.0,0
o54484,7.494574235162553e-11,500
e54485,0.0,0
o54485,7.494574235162553e-11,500
e54486,0.0,0
o54486,7.494574235162553e-11,500
e54487,0.0,0
o54487,7.494574235162553e-11,500
e54238,0.0,0
o54238,7.1048563749341e-11,474
e54239,0.0,0
